species,abundance,extent,niche_breadth,range_size,habitat,abun_meas,rabin_class,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation,occupied_area,rcp,change_driver,year,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure,log10_patch_isolation,log10_num_patches,ext_res,abun_res,niche_res,nump_res,iso_res,topo_res,elev_res,dc_res,OTU,Genus,Species
Hesperocyparis stephensonii,26.60721162,8241.368121,6.011690075,n,b,s,n-b-s,0.572964754,50.22598451,1099.855195,702,894.7990824,5554.98,rcp45,climate_change,2085,35648.9479131913,36992.2324559242,2598.80830287165,2696.73374603688,0.0376809028418994,-0.0376809028418994,2.95172553006382,2.84633711212981,-1.09633059113707,-1.04184890327083,-1.70090455102466,-1.47550368343468,-1.15950620558656,-1.61921019641061,-1.65072861345786,-1.30401458483018,Hesperocyparis_2,Hesperocyparis,stephensonii
Minuartia obtusiloba,19.18966608,8416.598066,6.227666337,n,b,s,n-b-s,0.639750047,251.9235678,3221.565323,2,9011.692405,6782.8347,rcp45,climate_change,2085,54671.3531498164,33848.4144180157,3985.54164462162,2467.54941107334,-0.38087476406043,0.38087476406043,3.95480635958409,0.301029995663981,0.180201734647995,0.124715682217122,-0.301921212664874,0.205841423873504,-0.298426226981405,-0.523194233369953,1.02737677795245,-0.00936971172785417,Minuartia+Sagina,Minuartia,obtusiloba
Phacelia insularis,274.8500505,8617.541566,6.732365124,n,b,l,n-b-l,0.207518695,1.184818927,45.97204869,9,56168.96454,126.1899,rcp45,climate_change,2085,1319.33675830346,1134.27148124582,96.179649680322,82.6883909828199,-0.140271447674677,0.140271447674677,4.74949641784607,0.954242509439325,-0.240353044429684,-0.566276069349656,-0.753160701588367,-0.216234371030839,-0.733219834053683,0.00173679595678436,-0.300464231762897,-0.440514837916807,Phacelia_Phacelia,Phacelia,insularis
Quercus sadleriana,222.0156009,10247.7637,4.286677537,n,b,l,n-b-l,0.700052994,43.63097928,1338.958809,30,2442.676166,2014.8102,rcp45,climate_change,2085,10601.69649674,1946.75754061342,772.863674612345,141.918624710718,-0.816373017166447,0.816373017166447,3.387865894873,1.47712125471966,1.14253082107424,0.745060483378948,0.823392321311907,1.08451257077307,0.669946246879289,0.108252194611862,0.560986471271648,0.727508075825001,Quercus_white,Quercus,sadleriana
Pinus torreyana,168.7447994,10342.83107,3.169518052,n,r,s,n-r-s,0.257028075,1.72061534,68.45079302,151,1311.482722,163.7334,rcp45,climate_change,2085,1692.70396229744,1688.4151931699,123.398118851483,123.085467582086,-0.0025336793810779,0.0025336793810779,3.11776257339417,2.17897694729317,-1.74545408290326,-1.97213611429436,-1.74693955912472,-2.07479962527711,-2.03316433913442,-1.70105714189483,-1.34144328411409,-1.72344327871545,Pinus_Ponderosae,Pinus,torreyana
Pinus quadrifolia,66.75107483,10581.66398,3.269799488,n,r,s,n-r-s,0.346960737,80.84636657,1429.045565,5,41364.46306,1507.2804,rcp45,climate_change,2085,9489.52071162201,717.353943565352,691.786059877245,52.2951024859141,-0.924405671754655,0.924405671754655,4.6166273912503,0.698970004336019,1.19669913053135,1.01059365032403,0.939803567557445,1.16548916962503,0.426973911086323,0.925654567716133,0.48923922865372,0.695664309688689,Pinus_Cembroides,Pinus,quadrifolia
Sequoiadendron giganteum,1314.602913,11397.83111,3.580036075,n,r,l,n-r-l,0.674996499,219.3781542,1935.206876,9,11432.09932,4403.8161,rcp45,climate_change,2085,37387.6012763184,22282.2546878882,2725.55613304361,1624.37636674705,-0.404020211855582,0.404020211855582,4.05812598887079,0.954242509439325,-0.881060031255594,-0.964630845009808,-1.105989679562,-0.64762141893218,-1.76723097745133,-2.23935084840715,-2.46621377093738,-2.34827619893793,Sequoiadendron,Sequoiadendron,giganteum
Xylococcus bicolor,160.4155681,14176.86379,3.141144842,n,r,s,n-r-s,0.39939973,22.60998799,300.9092639,539,794.6193444,6612.6861,rcp45,climate_change,2085,46564.2187888731,23984.9976057632,3394.53154970885,1748.50632546014,-0.484904971465029,0.484904971465029,2.90015913341493,2.73158876518674,0.00841566626990823,-0.260775167619111,-0.0561123830698042,-0.271524927154997,-0.275978752073598,-0.270596876484412,-0.207449910343462,-0.280080893042644,Xylococcus,Xylococcus,bicolor
Ribes lasianthum,172.7686688,14764.7247,3.439871826,n,r,s,n-r-s,0.777051071,237.1172882,2645.994442,10,35200.04322,1365.417,rcp45,climate_change,2085,758.770488291979,799.182735688519,55.3143685964853,58.2604214316931,0.0532601728982755,-0.0532601728982755,4.54654319672234,1,0.621502012154981,0.523825417476398,0.831577698804195,0.444302814904052,0.92213483818663,0.0844298321655031,1.75870269431293,1.6823899624244,Ribes_Grossularia,Ribes,lasianthum
Pseudotsuga macrocarpa,577.7737892,29817.65347,1.808926555,w,r,l,w-r-l,0.789623104,41.58516933,1394.724614,51,1402.433995,8828.6274,rcp45,climate_change,2085,89022.5768402393,71066.0131727126,6489.74585165345,5180.71236029075,-0.201707974593363,0.201707974593363,3.14688243051156,1.70757017609794,-0.802207173878595,-1.4632248078477,-0.555432960734373,-0.697372066456737,-0.935601507879109,-2.02534992919734,-1.62398313462424,-0.983348039331514,Pseudotsuga,Pseudotsuga,macrocarpa
