sp,model,year,scen,rcp,change_driver,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure
Adenostoma sparsifolium,meanthr,2085,hades,rcp85,lulc,44719.1502,40193.56816,3260.02605,2930.111119,-0.10120009,0.10120009
Aesculus californica,meanthr,2085,cnrm,rcp45,climate_change,325425.1811,185379.8713,23723.4957,13514.19262,-0.430345646,0.430345646
Aesculus californica,meanthr,2085,hades,rcp45,climate_change,325425.1811,163040.1298,23723.4957,11885.62546,-0.498993504,0.498993504
Aesculus californica,meanthr,2085,cnrm,rcp85,climate_change,325425.1811,129250.4872,23723.4957,9422.360514,-0.602825796,0.602825796
Aesculus californica,meanthr,2085,hades,rcp85,climate_change,325425.1811,68821.73919,23723.4957,5017.104787,-0.788517474,0.788517474
Aesculus californica,meanthr,2085,cnrm,rcp45,climate_change + lulc,325425.1811,173852.1359,23723.4957,12673.8207,-0.465769258,0.465769258
Aesculus californica,meanthr,2085,hades,rcp45,climate_change + lulc,325425.1811,154169.1019,23723.4957,11238.92753,-0.526253312,0.526253312
Aesculus californica,meanthr,2085,cnrm,rcp85,climate_change + lulc,325425.1811,114125.6206,23723.4957,8319.757742,-0.649303043,0.649303043
Aesculus californica,meanthr,2085,hades,rcp85,climate_change + lulc,325425.1811,61943.78796,23723.4957,4515.702143,-0.809652751,0.809652751
Aesculus californica,meanthr,2085,hades,rcp45,lulc,325425.1811,300821.0079,23723.4957,21929.85148,-0.075606236,0.075606236
Aesculus californica,meanthr,2085,hades,rcp85,lulc,325425.1811,280072.3688,23723.4957,20417.27568,-0.139364791,0.139364791
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp45,climate_change,185441.2782,177009.8225,13518.66918,12904.01606,-0.045466985,0.045466985
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,climate_change,185441.2782,159549.3349,13518.66918,11631.14651,-0.139623409,0.139623409
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp85,climate_change,185441.2782,232132.2717,13518.66918,16922.44261,0.251783173,-0.251783173
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,climate_change,185441.2782,191051.1918,13518.66918,13927.63188,0.030251698,-0.030251698
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp45,climate_change + lulc,185441.2782,168818.717,13518.66918,12306.88447,-0.08963787,0.08963787
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,climate_change + lulc,185441.2782,153240.7199,13518.66918,11171.24848,-0.173642884,0.173642884
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp85,climate_change + lulc,185441.2782,207292.1802,13518.66918,15111.59993,0.11783192,-0.11783192
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,climate_change + lulc,185441.2782,174898.712,13518.66918,12750.11611,-0.056851238,0.056851238
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,lulc,185441.2782,177578.799,13518.66918,12945.49445,-0.042398755,0.042398755
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,lulc,185441.2782,167538.6697,13518.66918,12213.56902,-0.09654058,0.09654058
Arctostaphylos glauca,meanthr,2085,cnrm,rcp45,climate_change,269517.4233,174503.5267,19647.82016,12721.30709,-0.352533411,0.352533411
Arctostaphylos glauca,meanthr,2085,hades,rcp45,climate_change,269517.4233,158777.1254,19647.82016,11574.85244,-0.410883633,0.410883633
Arctostaphylos glauca,meanthr,2085,cnrm,rcp85,climate_change,269517.4233,91816.89427,19647.82016,6693.451592,-0.659328539,0.659328539
Arctostaphylos glauca,meanthr,2085,hades,rcp85,climate_change,269517.4233,86292.84452,19647.82016,6290.748365,-0.679824616,0.679824616
Arctostaphylos glauca,meanthr,2085,cnrm,rcp45,climate_change + lulc,269517.4233,169424.1836,19647.82016,12351.02299,-0.371379477,0.371379477
Arctostaphylos glauca,meanthr,2085,hades,rcp45,climate_change + lulc,269517.4233,155356.2282,19647.82016,11325.46904,-0.423576308,0.423576308
Arctostaphylos glauca,meanthr,2085,cnrm,rcp85,climate_change + lulc,269517.4233,86743.23786,19647.82016,6323.58204,-0.678153506,0.678153506
Arctostaphylos glauca,meanthr,2085,hades,rcp85,climate_change + lulc,269517.4233,83482.98723,19647.82016,6085.909769,-0.690250128,0.690250128
Arctostaphylos glauca,meanthr,2085,hades,rcp45,lulc,269517.4233,254261.1405,19647.82016,18535.63714,-0.056605924,0.056605924
Arctostaphylos glauca,meanthr,2085,hades,rcp85,lulc,269517.4233,242110.2578,19647.82016,17649.83779,-0.101689773,0.101689773
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp45,climate_change,225684.3268,234282.7546,16452.38742,17079.21281,0.038099358,-0.038099358
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,climate_change,225684.3268,190658.3882,16452.38742,13898.9965,-0.155198808,0.155198808
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp85,climate_change,225684.3268,211257.3144,16452.38742,15400.65822,-0.063925628,0.063925628
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,climate_change,225684.3268,189772.6659,16452.38742,13834.42734,-0.159123416,0.159123416
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp45,climate_change + lulc,216492.9474,220271.9654,15782.33587,16057.82628,0.017455617,-0.017455617
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,climate_change + lulc,216492.9474,181050.2554,15782.33587,13198.56362,-0.163712918,0.163712918
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp85,climate_change + lulc,216492.9474,193539.973,15782.33587,14109.06403,-0.106021812,0.106021812
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,climate_change + lulc,216492.9474,178955.6218,15782.33587,13045.86483,-0.173388215,0.173388215
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,lulc,225684.3268,218532.2499,16452.38742,15931.00101,-0.031690623,0.031690623
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,lulc,225684.3268,213029.0494,16452.38742,15529.8177,-0.056075127,0.056075127
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp45,climate_change,22007.57163,15649.35206,1604.351972,1140.837765,-0.288910548,0.288910548
Arctostaphylos pringlei,meanthr,2085,hades,rcp45,climate_change,22007.57163,12457.82726,1604.351972,908.1756076,-0.433929946,0.433929946
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp85,climate_change,22007.57163,1637.07183,1604.351972,119.3425364,-0.925613245,0.925613245
Arctostaphylos pringlei,meanthr,2085,hades,rcp85,climate_change,22007.57163,9316.015997,1604.351972,679.1375662,-0.576690416,0.576690416
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp45,climate_change + lulc,22007.57163,15339.27632,1604.351972,1118.233244,-0.30300005,0.30300005
Arctostaphylos pringlei,meanthr,2085,hades,rcp45,climate_change + lulc,22007.57163,12257.58074,1604.351972,893.5776358,-0.443028929,0.443028929
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp85,climate_change + lulc,22007.57163,1578.537076,1604.351972,115.0753528,-0.928273001,0.928273001
Arctostaphylos pringlei,meanthr,2085,hades,rcp85,climate_change + lulc,22007.57163,9014.457322,1604.351972,657.1539388,-0.590392912,0.590392912
Arctostaphylos pringlei,meanthr,2085,hades,rcp45,lulc,22007.57163,21574.55844,1604.351972,1572.78531,-0.019675646,0.019675646
Arctostaphylos pringlei,meanthr,2085,hades,rcp85,lulc,22007.57163,20928.58603,1604.351972,1525.693921,-0.049027926,0.049027926
Arctostaphylos rainbowensis,meanthr,2085,cnrm,rcp45,climate_change,13894.47055,5758.659654,1012.906903,419.8062888,-0.585543067,0.585543067
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp45,climate_change,13894.47055,7131.234287,1012.906903,519.8669795,-0.486757393,0.486757393
Arctostaphylos rainbowensis,meanthr,2085,cnrm,rcp85,climate_change,13894.47055,6463.293674,1012.906903,471.1741088,-0.534829798,0.534829798
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp85,climate_change,13894.47055,7068.431023,1012.906903,515.2886216,-0.491277412,0.491277412
Arctostaphylos rainbowensis,meanthr,2085,cnrm,rcp45,climate_change + lulc,12998.30438,4398.943505,947.5763896,320.6829815,-0.661575589,0.661575589
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp45,climate_change + lulc,12998.30438,5540.91059,947.5763896,403.932382,-0.573720508,0.573720508
Arctostaphylos rainbowensis,meanthr,2085,cnrm,rcp85,climate_change + lulc,12998.30438,4881.442273,947.5763896,355.8571417,-0.624455457,0.624455457
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp85,climate_change + lulc,12998.30438,5222.437349,947.5763896,380.7156827,-0.598221645,0.598221645
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp45,lulc,13894.47055,12089.26112,1012.906903,881.3071355,-0.129922866,0.129922866
Arctostaphylos rainbowensis,meanthr,2085,hades,rcp85,lulc,13894.47055,10851.35718,1012.906903,791.0639383,-0.219016145,0.219016145
Arctostaphylos rudis,meanthr,2085,cnrm,rcp45,climate_change,4806.573213,3424.147986,350.3991872,249.6203882,-0.287611395,0.287611395
Arctostaphylos rudis,meanthr,2085,hades,rcp45,climate_change,4806.573213,3608.826536,350.3991872,263.0834545,-0.249189313,0.249189313
Arctostaphylos rudis,meanthr,2085,cnrm,rcp85,climate_change,4806.573213,743.4711032,350.3991872,54.19904342,-0.845322006,0.845322006
Arctostaphylos rudis,meanthr,2085,hades,rcp85,climate_change,4806.573213,6.956026614,350.3991872,0.50709434,-0.99855281,0.99855281
Arctostaphylos rudis,meanthr,2085,cnrm,rcp45,climate_change + lulc,4806.573213,3186.721097,350.3991872,232.311968,-0.337007686,0.337007686
Arctostaphylos rudis,meanthr,2085,hades,rcp45,climate_change + lulc,4806.573213,3303.357063,350.3991872,240.8147299,-0.312741757,0.312741757
Arctostaphylos rudis,meanthr,2085,cnrm,rcp85,climate_change + lulc,4806.573213,638.5969563,350.3991872,46.55371811,-0.867140907,0.867140907
Arctostaphylos rudis,meanthr,2085,hades,rcp85,climate_change + lulc,4806.573213,5.730353993,350.3991872,0.417742806,-0.998807809,0.998807809
Arctostaphylos rudis,meanthr,2085,hades,rcp45,lulc,4806.573213,4425.947888,350.3991872,322.6516011,-0.0791885,0.0791885
Arctostaphylos rudis,meanthr,2085,hades,rcp85,lulc,4806.573213,4059.239829,350.3991872,295.9185836,-0.155481536,0.155481536
Artemisia californica,meanthr,2085,cnrm,rcp45,climate_change,118094.0432,89403.61351,8609.055749,6517.523425,-0.242945613,0.242945613
Artemisia californica,meanthr,2085,hades,rcp45,climate_change,118094.0432,107271.0978,8609.055749,7820.06303,-0.091646836,0.091646836
Artemisia californica,meanthr,2085,cnrm,rcp85,climate_change,118094.0432,80394.34414,8609.055749,5860.747688,-0.319234553,0.319234553
Artemisia californica,meanthr,2085,hades,rcp85,climate_change,118094.0432,81035.01345,8609.055749,5907.452481,-0.313809475,0.313809475
Artemisia californica,meanthr,2085,cnrm,rcp45,climate_change + lulc,118094.0432,72656.11999,8609.055749,5296.631147,-0.384760501,0.384760501
Artemisia californica,meanthr,2085,hades,rcp45,climate_change + lulc,118094.0432,87194.21261,8609.055749,6356.4581,-0.261654439,0.261654439
Artemisia californica,meanthr,2085,cnrm,rcp85,climate_change + lulc,118094.0432,56149.00936,8609.055749,4093.262783,-0.524539868,0.524539868
Artemisia californica,meanthr,2085,hades,rcp85,climate_change + lulc,118094.0432,56919.40308,8609.055749,4149.424484,-0.518016307,0.518016307
Artemisia californica,meanthr,2085,hades,rcp45,lulc,118094.0432,95908.91183,8609.055749,6991.759672,-0.187859868,0.187859868
Artemisia californica,meanthr,2085,hades,rcp85,lulc,118094.0432,83852.08135,8609.055749,6112.81673,-0.28995503,0.28995503
Artemisia cana subsp bolanderi,meanthr,2085,cnrm,rcp45,climate_change,32263.27194,21985.66551,2351.992524,1602.755016,-0.318554375,0.318554375
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp45,climate_change,32263.27194,20861.99647,2351.992524,1520.839543,-0.353382493,0.353382493
Artemisia cana subsp bolanderi,meanthr,2085,cnrm,rcp85,climate_change,32263.27194,13197.81884,2351.992524,962.1209937,-0.590933651,0.590933651
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp85,climate_change,32263.27194,6542.629887,2351.992524,476.9577188,-0.79721121,0.79721121
Artemisia cana subsp bolanderi,meanthr,2085,cnrm,rcp45,climate_change + lulc,32033.79301,21839.46285,2335.26351,1592.096842,-0.318236749,0.318236749
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp45,climate_change + lulc,32033.79301,20645.64207,2335.26351,1505.067307,-0.355504293,0.355504293
Artemisia cana subsp bolanderi,meanthr,2085,cnrm,rcp85,climate_change + lulc,32033.79301,13037.45191,2335.26351,950.4302446,-0.593009423,0.593009423
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp85,climate_change + lulc,32033.79301,6455.52338,2335.26351,470.6076544,-0.798477708,0.798477708
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp45,lulc,32263.27194,32144.51829,2351.992524,2343.335383,-0.003680769,0.003680769
Artemisia cana subsp bolanderi,meanthr,2085,hades,rcp85,lulc,32263.27194,31955.71117,2351.992524,2329.571344,-0.009532845,0.009532845
Artemisia rothrockii,meanthr,2085,cnrm,rcp45,climate_change,949.7935106,3.130281602,69.23994693,0.228197529,-0.99670425,0.99670425
Artemisia rothrockii,meanthr,2085,hades,rcp45,climate_change,949.7935106,43.45204616,69.23994693,3.167654165,-0.95425106,0.95425106
Artemisia rothrockii,meanthr,2085,cnrm,rcp85,climate_change,949.7935106,21.68766465,69.23994693,1.581030753,-0.977165916,0.977165916
Artemisia rothrockii,meanthr,2085,hades,rcp85,climate_change,949.7935106,0.755711787,69.23994693,0.055091389,-0.999204341,0.999204341
Artemisia rothrockii,meanthr,2085,cnrm,rcp45,climate_change + lulc,949.7935106,3.130281602,69.23994693,0.228197529,-0.99670425,0.99670425
Artemisia rothrockii,meanthr,2085,hades,rcp45,climate_change + lulc,949.7935106,43.45204616,69.23994693,3.167654165,-0.95425106,0.95425106
Artemisia rothrockii,meanthr,2085,cnrm,rcp85,climate_change + lulc,949.7935106,21.68766465,69.23994693,1.581030753,-0.977165916,0.977165916
Artemisia rothrockii,meanthr,2085,hades,rcp85,climate_change + lulc,949.7935106,0.755711787,69.23994693,0.055091389,-0.999204341,0.999204341
Artemisia rothrockii,meanthr,2085,hades,rcp45,lulc,949.7935106,949.7935106,69.23994693,69.23994693,0,0
Artemisia rothrockii,meanthr,2085,hades,rcp85,lulc,949.7935106,949.7935132,69.23994693,69.23994711,2.68E-09,-2.68E-09
Asclepias eriocarpa,meanthr,2085,cnrm,rcp45,climate_change,40885.36104,39995.92359,2980.54282,2915.702829,-0.021754423,0.021754423
Asclepias eriocarpa,meanthr,2085,hades,rcp45,climate_change,40885.36104,33839.08277,2980.54282,2466.869134,-0.172342327,0.172342327
Asclepias eriocarpa,meanthr,2085,cnrm,rcp85,climate_change,40885.36104,36079.59306,2980.54282,2630.202334,-0.117542511,0.117542511
Asclepias eriocarpa,meanthr,2085,hades,rcp85,climate_change,40885.36104,33475.23615,2980.54282,2440.344715,-0.181241518,0.181241518
Asclepias eriocarpa,meanthr,2085,cnrm,rcp45,climate_change + lulc,40885.36104,37981.64545,2980.54282,2768.861953,-0.071020911,0.071020911
Asclepias eriocarpa,meanthr,2085,hades,rcp45,climate_change + lulc,40885.36104,31964.91573,2980.54282,2330.242357,-0.218181889,0.218181889
Asclepias eriocarpa,meanthr,2085,cnrm,rcp85,climate_change + lulc,40885.36104,31670.62065,2980.54282,2308.788245,-0.225379944,0.225379944
Asclepias eriocarpa,meanthr,2085,hades,rcp85,climate_change + lulc,40885.36104,30166.09847,2980.54282,2199.108578,-0.262178499,0.262178499
Asclepias eriocarpa,meanthr,2085,hades,rcp45,lulc,40885.36104,38348.49876,2980.54282,2795.60556,-0.062048181,0.062048181
Asclepias eriocarpa,meanthr,2085,hades,rcp85,lulc,40885.36104,36785.53046,2980.54282,2681.66517,-0.100276248,0.100276248
Asclepias fascicularis,meanthr,2085,cnrm,rcp45,climate_change,209090.3786,177105.6133,15242.6886,12910.99921,-0.152971004,0.152971004
Asclepias fascicularis,meanthr,2085,hades,rcp45,climate_change,209090.3786,194408.1829,15242.6886,14172.35653,-0.070219375,0.070219375
Asclepias fascicularis,meanthr,2085,cnrm,rcp85,climate_change,209090.3786,132195.9949,15242.6886,9637.088025,-0.367756681,0.367756681
Asclepias fascicularis,meanthr,2085,hades,rcp85,climate_change,209090.3786,173784.1918,15242.6886,12668.86758,-0.168856104,0.168856104
Asclepias fascicularis,meanthr,2085,cnrm,rcp45,climate_change + lulc,209090.3786,163028.9546,15242.6886,11884.81079,-0.220294326,0.220294326
Asclepias fascicularis,meanthr,2085,hades,rcp45,climate_change + lulc,209090.3786,177988.2824,15242.6886,12975.34579,-0.148749533,0.148749533
Asclepias fascicularis,meanthr,2085,cnrm,rcp85,climate_change + lulc,209090.3786,115559.783,15242.6886,8424.308181,-0.447321375,0.447321375
Asclepias fascicularis,meanthr,2085,hades,rcp85,climate_change + lulc,209090.3786,149827.1999,15242.6886,10922.40287,-0.283433313,0.283433313
Asclepias fascicularis,meanthr,2085,hades,rcp45,lulc,209090.3786,190398.8671,15242.6886,13880.07741,-0.089394412,0.089394412
Asclepias fascicularis,meanthr,2085,hades,rcp85,lulc,209090.3786,177428.5141,15242.6886,12934.53868,-0.151426693,0.151426693
Calocedrus decurrens,meanthr,2085,cnrm,rcp45,climate_change,590273.7827,445039.8987,43030.95876,32443.40862,-0.246044951,0.246044951
Calocedrus decurrens,meanthr,2085,hades,rcp45,climate_change,590273.7827,443034.5705,43030.95876,32297.22019,-0.249442236,0.249442236
Calocedrus decurrens,meanthr,2085,cnrm,rcp85,climate_change,590273.7827,474180.3657,43030.95876,34567.74866,-0.196677238,0.196677238
Calocedrus decurrens,meanthr,2085,hades,rcp85,climate_change,590273.7827,372130.854,43030.95876,27128.33926,-0.369562286,0.369562286
Calocedrus decurrens,meanthr,2085,cnrm,rcp45,climate_change + lulc,590273.7827,441558.421,43030.95876,32189.60889,-0.251943024,0.251943024
Calocedrus decurrens,meanthr,2085,hades,rcp45,climate_change + lulc,590273.7827,440032.9824,43030.95876,32078.40442,-0.254527314,0.254527314
Calocedrus decurrens,meanthr,2085,cnrm,rcp85,climate_change + lulc,590273.7827,465145.0119,43030.95876,33909.07136,-0.211984294,0.211984294
Calocedrus decurrens,meanthr,2085,hades,rcp85,climate_change + lulc,590273.7827,367755.4415,43030.95876,26809.37169,-0.3769748,0.3769748
Calocedrus decurrens,meanthr,2085,hades,rcp45,lulc,590273.7827,584724.2163,43030.95876,42626.39537,-0.009401682,0.009401682
Calocedrus decurrens,meanthr,2085,hades,rcp85,lulc,590273.7827,574069.7426,43030.95876,41849.68423,-0.027451736,0.027451736
Calochortus albus,meanthr,2085,cnrm,rcp45,climate_change,131762.0408,162212.204,9605.452771,11825.26967,0.231099663,-0.231099663
Calochortus albus,meanthr,2085,hades,rcp45,climate_change,131762.0408,131385.4885,9605.452771,9578.002112,-0.00285782,0.00285782
Calochortus albus,meanthr,2085,cnrm,rcp85,climate_change,131762.0408,110597.7337,9605.452771,8062.574784,-0.160625222,0.160625222
Calochortus albus,meanthr,2085,hades,rcp85,climate_change,131762.0408,153714.4845,9605.452771,11205.78592,0.166606737,-0.166606737
Calochortus albus,meanthr,2085,cnrm,rcp45,climate_change + lulc,131762.0408,151556.729,9605.452771,11048.48554,0.150230583,-0.150230583
Calochortus albus,meanthr,2085,hades,rcp45,climate_change + lulc,131762.0408,123585.8921,9605.452771,9009.411535,-0.062052383,0.062052383
Calochortus albus,meanthr,2085,cnrm,rcp85,climate_change + lulc,131762.0408,98918.41229,9605.452771,7211.152256,-0.249264722,0.249264722
Calochortus albus,meanthr,2085,hades,rcp85,climate_change + lulc,131762.0408,136185.8919,9605.452771,9927.95152,0.033574549,-0.033574549
Calochortus albus,meanthr,2085,hades,rcp45,lulc,131762.0408,121962.5625,9605.452771,8891.070809,-0.074372544,0.074372544
Calochortus albus,meanthr,2085,hades,rcp85,lulc,131762.0408,113930.4212,9605.452771,8305.527709,-0.135331992,0.135331992
Calochortus obispoensis,meanthr,2085,cnrm,rcp45,climate_change,8723.789378,2284.406681,635.9642457,166.5332471,-0.738140551,0.738140551
Calochortus obispoensis,meanthr,2085,hades,rcp45,climate_change,8723.789378,530.753916,635.9642457,38.69196047,-0.939160164,0.939160164
Calochortus obispoensis,meanthr,2085,cnrm,rcp85,climate_change,8723.789378,0,635.9642457,0,-1,1
Calochortus obispoensis,meanthr,2085,hades,rcp85,climate_change,8723.789378,0,635.9642457,0,-1,1
Calochortus obispoensis,meanthr,2085,cnrm,rcp45,climate_change + lulc,8441.507375,2060.902177,615.3858876,150.2397687,-0.755860881,0.755860881
