species,n_pres,n_abs,AUC,TSS,FPB,Sorensen,Boyce
Quercus sadleriana,472,2581,0.787,0.496,0.555,0.419,0.856
Quercus wislizeni,3111,11059,0.915,0.733,1.196,0.746,0.973
Rhododendron occidentale,442,10989,0.829,0.559,0.209,0.188,0.96
Rhus integrifolia,1281,2011,0.71,0.403,0.882,0.604,0.74
Rhus ovata,1960,2725,0.851,0.589,1.124,0.694,0.66
Rhus trilobata,511,11256,0.878,0.667,0.391,0.316,0.746
Ribes lasianthum,39,6460,0.699,0.374,0.047,0.045,0.946
Ribes malvaceum,435,10555,0.853,0.65,0.246,0.214,0.801
Rosa californica,1067,11212,0.884,0.637,0.582,0.445,0.898
Salix lasiolepis,1657,11070,0.871,0.624,0.675,0.502,0.979
Salvia apiana,1208,3310,0.873,0.665,1.214,0.747,0.691
Salvia columbariae,935,10496,0.887,0.66,0.605,0.453,0.78
Salvia leucophylla,1214,2884,0.745,0.481,0.784,0.537,0.717
Salvia mellifera,3075,2363,0.818,0.557,1.277,0.775,0.77
Sambucus nigra,1043,11312,0.859,0.605,0.513,0.404,0.953
Scutellaria californica,97,8703,0.867,0.684,0.097,0.092,0.967
Sequoia sempervirens,968,4006,0.958,0.862,1.405,0.817,0.855
Sequoiadendron giganteum,2854,3977,0.804,0.579,1.146,0.693,0.783
Torreya californica,232,8655,0.919,0.757,0.308,0.263,0.838
Trichostema lanatum,320,6371,0.812,0.593,0.225,0.201,0.726
Umbellularia californica,3151,10630,0.897,0.69,1.119,0.715,0.945
Viguiera laciniata,138,138,0.89,0.677,1.471,0.846,0.786
Xylococcus bicolor,338,2425,0.931,0.846,1.423,0.782,0.73
