species,extent,niche_breadth,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation
Lepechinia calycina,134704.4924,3.7129382,0.522477816,74.62745481,501.8867887,191,1809.564108
Juglans californica,136537.5811,4.035654809,0.43512433,27.54112177,337.5568438,2514,859.9544857
Delphinium hesperium,138614.1509,4.591890169,0.447518202,55.97033436,566.0633223,1056,1431.788071
Lonicera subspicata,141916.2267,4.159353271,0.464587619,39.85741541,638.2972644,359,2542.768986
Ribes malvaceum,145461.4761,3.925157199,0.513105926,21.50830922,457.0032308,625,1443.178111
Corylus cornuta subsp californica,146468.2697,10.05958346,0.521282525,71.68233553,810.3266391,15610,743.64484
Eryngium aristulatum,161626.514,6.997723717,0.216364237,58.88493213,366.9328668,19783,734.2636132
Calochortus albus,168563.2357,3.490026564,0.470270328,74.73734593,432.1104766,806,879.2372598
Pinus muricata,169793.6704,5.791769605,0.26591101,5.898503431,174.1403069,185,2051.768204
Pickeringia montana,173935.7738,4.320376695,0.530878533,29.39487394,517.0546912,320,1898.827038
Prunus ilicifolia,175447.1172,4.257662884,0.515515205,33.09996124,606.0025821,2373,901.7635824
Arctostaphylos glauca,180863.0798,4.12173869,0.514351823,68.15606565,949.644131,1326,1099.770145
Pinus sabiniana,194532.0907,4.800195395,0.505409103,116.9755157,676.4843422,1868,869.662604
Salvia columbariae,197193.0325,4.574987715,0.450200198,58.0417239,684.1716206,2481,1050.433453
Pinus attenuata,197299.9566,9.781786881,0.619471487,64.91052745,835.1619717,132,5737.542536
Quercus lobata,198017.4178,4.709402087,0.194813241,80.59195805,290.4917452,5063,889.7514129
Eriogonum fasciculatum,199215.6801,4.556001981,0.428516538,41.39885656,586.3443175,3167,897.9101926
Asclepias eriocarpa,199277.2424,4.464462057,0.319751218,64.30031817,573.7434551,2004,1074.871131
Quercus douglasii,200064.2588,3.718523187,0.418501145,105.1727048,556.0052139,3079,902.2249367
Quercus agrifolia,201902.8996,4.697328385,0.40842494,22.91019238,364.544611,2805,908.6829003
Arctostaphylos glandulosa,205228.6671,4.676207851,0.56455984,28.81308981,778.0122291,766,1084.809399
Aesculus californica,206753.5373,4.698210176,0.526159585,87.75557157,590.5674094,2223,887.8411775
Rhododendron occidentale,211292.7643,8.440594085,0.524078006,88.05877524,976.539526,292,3094.806839
Platanus racemosa,213534.6361,4.952311873,0.340004817,62.53502982,313.0390667,7971,810.8310891
Quercus dumosa,228992.7024,5.70109999,0.40795054,44.62671347,547.6891489,2225,839.1404607
Juncus balticus,234796.48,7.743954092,0.19436927,99.06087857,509.4987499,4966,1001.702335
Asclepias fascicularis,245339.8995,5.491145217,0.284061075,64.37838888,360.1290605,7654,843.5914593
Umbellularia californica,246600.2829,6.153663004,0.563845057,60.16703585,519.4120206,1836,834.5718672
Heteromeles arbutifolia,258529.1233,4.871898975,0.465710049,41.5718123,397.1315463,2293,967.428497
Mimulus cardinalis,258841.4157,8.302342332,0.488478051,101.6064132,867.9865458,26124,762.5642744
Quercus wislizeni,262294.4848,4.544251538,0.495020988,127.6387081,760.2616774,1537,961.881369
Croton setiger,265630.4185,5.172173024,0.258356328,70.76201285,321.1438154,6698,863.2585723
Dichelostemma capitatum,267530.101,4.982945258,0.405224933,77.3566306,455.0604266,5935,909.4733335
Pinus jeffreyi,269241.3731,7.155183093,0.562667624,172.0397381,1940.783171,177,2339.839912
Frangula californica,269936.0055,5.649784687,0.420702768,47.74212615,440.2766981,2901,993.1293296
Pinus lambertiana,270603.6599,6.603751533,0.636010871,132.9364116,1442.673634,151,2780.241676
Rosa californica,273878.5543,5.895515324,0.252476448,61.86819906,305.8854445,6961,910.8450004
Sambucus nigra,275663.9119,5.876645835,0.314054019,69.06675999,394.8140459,7124,889.3328109
Quercus kelloggii,280708.2167,5.549325108,0.578234956,145.7793164,1140.839719,499,1007.547206
Calocedrus decurrens,283224.862,6.793547623,0.572529915,150.0826114,1425.120041,432,1133.682712
Salix lasiolepis,287459.76,6.254997874,0.26267614,72.48860308,321.3501427,8684,873.9870826
Quercus chrysolepis,291381.5171,6.585834484,0.692209933,109.3005993,1148.793329,225,1803.752141
